<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PCO,D,20210526,000000,42,45,42,45,18658866,0
PCO,D,20210527,000000,45,45,43.9,44,6020955,0
PCO,D,20210528,000000,44.58,44.845,43.62,44.645,2839908,0
PCO,D,20210531,000000,44.645,44.645,43.625,44,918066,0
PCO,D,20210601,000000,43.99,44.29,43.7,44,907803,0
PCO,D,20210602,000000,44,44.095,43.375,43.735,232464,0
PCO,D,20210604,000000,43.75,43.995,43.55,43.845,579256,0
PCO,D,20210607,000000,43.835,44.245,43.705,43.9,716148,0
PCO,D,20210608,000000,44,44.235,43.9,43.9,953271,0
PCO,D,20210609,000000,43.9,44.185,43.82,43.905,631780,0
PCO,D,20210610,000000,44,44.09,43.5,43.695,733523,0
PCO,D,20210611,000000,43.6,43.88,43.47,43.6,292112,0
PCO,D,20210614,000000,43.55,43.835,42.5,43.2,1229749,0
PCO,D,20210615,000000,43.4,43.4,42.51,42.85,591073,0
PCO,D,20210616,000000,43,43.495,42.2,43.495,444096,0
PCO,D,20210617,000000,43.3,43.88,42.555,43.79,763200,0
PCO,D,20210618,000000,43.72,44.05,43.1,43.995,301265,0
PCO,D,20210621,000000,43.98,44.29,43.32,44.04,176956,0
PCO,D,20210622,000000,44,45.795,43.9,45.55,681223,0
PCO,D,20210623,000000,45.62,47,45.12,46.95,435717,0
PCO,D,20210624,000000,46.95,51.64,46.5,49.57,566884,0
PCO,D,20210625,000000,48.7,51.25,48.7,50.5,1222954,0
PCO,D,20210628,000000,50.58,51.94,50.27,51.3,1070803,0
PCO,D,20210629,000000,51.3,51.94,50.51,51,601294,0
PCO,D,20210630,000000,50.61,51,48.52,49,1291293,0
PCO,D,20210701,000000,49,50.5,48.3,50.31,710072,0
PCO,D,20210702,000000,50.5,51.89,50.17,51.4,1499573,0
PCO,D,20210705,000000,51.8,52.77,51.4,51.88,171680,0
PCO,D,20210706,000000,52,52.84,51.6,51.62,256893,0
PCO,D,20210707,000000,51.71,52.9,51.58,52.5,1279492,0
PCO,D,20210708,000000,52.8,52.8,51.5,52,272447,0
PCO,D,20210709,000000,52.2,52.2,51.45,51.79,160583,0
PCO,D,20210712,000000,51.99,52.35,51.75,52.23,32320,0
PCO,D,20210713,000000,52.24,53.42,52.24,53.13,159335,0
PCO,D,20210714,000000,53.25,53.83,51.67,52,504761,0
PCO,D,20210715,000000,52.99,52.99,51.6,52,1090623,0
PCO,D,20210716,000000,52,53.42,52,52.9,71797,0
PCO,D,20210719,000000,52.9,53,50.54,53,248958,0
PCO,D,20210720,000000,52.6,53.74,52.1,53.04,366339,0
PCO,D,20210721,000000,53.04,54.05,53.04,53.75,305376,0
PCO,D,20210722,000000,53.5,54.97,53,54.56,375462,0
PCO,D,20210723,000000,54.98,54.98,54.01,54.33,313940,0
PCO,D,20210726,000000,54.43,54.98,53.5,54.22,280202,0
PCO,D,20210727,000000,54.4,55.3,54.25,54.74,264062,0
PCO,D,20210728,000000,54.95,55.46,54.31,54.5,253840,0
PCO,D,20210729,000000,55.06,55.06,52.6,54.1,194062,0
PCO,D,20210730,000000,54.1,54.78,53,53.5,175038,0
PCO,D,20210802,000000,53.99,55.84,53.64,54.87,565993,0
PCO,D,20210803,000000,55.01,55.49,54.21,54.58,656170,0
PCO,D,20210804,000000,54.58,55.61,54.35,55.61,560337,0
PCO,D,20210805,000000,55.61,56.4,54.51,56,737903,0
PCO,D,20210806,000000,56.33,56.33,55.44,55.75,79076,0
PCO,D,20210809,000000,55.75,56.16,54.56,55,176389,0
PCO,D,20210810,000000,55.01,56.1,55.01,55.1,621299,0
PCO,D,20210811,000000,55.2,55.9,55.01,55.1,1025887,0
PCO,D,20210812,000000,55,56.19,54.73,55,187603,0
PCO,D,20210813,000000,55.16,57.44,54.98,56.11,372085,0
PCO,D,20210816,000000,57.29,57.29,55.01,56,192043,0
PCO,D,20210817,000000,56,56.98,55.5,55.94,114563,0
PCO,D,20210818,000000,56,56.49,55.52,56.22,531332,0
PCO,D,20210819,000000,56.22,56.88,54.5,55.67,388038,0
PCO,D,20210820,000000,55.67,56.5,54.62,55.5,774818,0
PCO,D,20210823,000000,55.71,56,55.06,55.31,30456,0
PCO,D,20210824,000000,55.24,55.58,54.97,55.5,38206,0
PCO,D,20210825,000000,55.37,55.52,55,55.3,59453,0
PCO,D,20210826,000000,55,55.46,53.58,55,171343,0
PCO,D,20210827,000000,54.86,55.09,54.22,54.22,72719,0
PCO,D,20210830,000000,54.25,55.44,54.01,55,184990,0
PCO,D,20210831,000000,55.13,55.13,53.14,53.8,265479,0
PCO,D,20210901,000000,53.8,54.09,52.22,52.7,501440,0
PCO,D,20210902,000000,52.6,52.7,50.51,52,238223,0
PCO,D,20210903,000000,52,52,50.93,51.6,342198,0
PCO,D,20210906,000000,51.7,52.49,51.51,52,267391,0
PCO,D,20210907,000000,52,53.21,51.81,52.43,368893,0
PCO,D,20210908,000000,52.52,53.02,50.2,51.19,305229,0
PCO,D,20210909,000000,51.01,51.4,50.11,50.79,409031,0
PCO,D,20210910,000000,51.1,51.79,50.13,50.36,150916,0
PCO,D,20210913,000000,50.5,51.78,49.7,50.05,264360,0
PCO,D,20210914,000000,50.11,50.49,49.605,50,153846,0
PCO,D,20210915,000000,50,50.43,48.52,49.995,388352,0
PCO,D,20210916,000000,49.9,50.3,48.13,48.14,213006,0
PCO,D,20210917,000000,48.14,48.98,47.51,47.9,250874,0
PCO,D,20210920,000000,47.7,48,46.805,47.545,177473,0
PCO,D,20210921,000000,47.785,49.95,47.71,49.25,318160,0
PCO,D,20210922,000000,50.35,50.35,49.5,50.1,160158,0
PCO,D,20210923,000000,50.5,52.55,49.755,52.35,819229,0
PCO,D,20210924,000000,52.45,52.46,50.12,51.2,549328,0
PCO,D,20210927,000000,51.21,51.72,49.615,51.19,372467,0
PCO,D,20210928,000000,50.7,51.69,49.96,50.5,564877,0
PCO,D,20210929,000000,50,51.12,50,50.32,116394,0
PCO,D,20210930,000000,50.83,51.07,50.02,51,123817,0
PCO,D,20211001,000000,50.94,53.39,50.12,52.88,208037,0
PCO,D,20211004,000000,52.86,52.86,50.34,50.88,579314,0
PCO,D,20211005,000000,50.88,51.64,50.45,51.5,555347,0
PCO,D,20211006,000000,51.5,52.29,49.995,49.995,1086992,0
PCO,D,20211007,000000,50,50.48,47.84,48.3,721641,0
PCO,D,20211008,000000,48.2,48.655,47,47.27,485394,0
PCO,D,20211011,000000,47.48,48.5,47.305,47.95,535941,0
PCO,D,20211012,000000,47.6,48.29,47.35,47.8,128363,0
PCO,D,20211013,000000,47.65,49.4,47.65,48.12,145818,0
PCO,D,20211014,000000,49.21,49.8,48.195,48.5,475295,0
PCO,D,20211015,000000,48.98,49.11,47.025,47.5,447601,0
